timestamp,current_commit_sha,parent_commit_sha,current_commit_timestamp,current_commit_message,github_url,num_python_file_changed,coverage,num_new_violations,new_violations,num_old_violations,old_violations,num_current_violations,current_violations,num_parent_violations,parent_violations
20251229_105924,2d6db16518f185a83da645facf4efaeacc731b11,,1634502312,17.10.2021,,,x,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=92;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=90,0,
20251229_105924,e8c839ee99bc1724e894c2a6135946c0f8d8d981,1f66a540e61b2bbe8b5eb2aba5fe0a38fc6592f4,1641457730,06.01.2022,https://github.com/ervand7/Summary/compare/1f66a540e61b2bbe8b5eb2aba5fe0a38fc6592f4...e8c839ee99bc1724e894c2a6135946c0f8d8d981,5,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=92;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=90,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=92;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=90
20251229_105924,f5a5639991cc5bb682bb2dd48ed7b1701b870f68,e8c839ee99bc1724e894c2a6135946c0f8d8d981,1641482788,06.01.2022,https://github.com/ervand7/Summary/compare/e8c839ee99bc1724e894c2a6135946c0f8d8d981...f5a5639991cc5bb682bb2dd48ed7b1701b870f68,2,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=92;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=90,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=92;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=90
20251229_105924,b32f7d35a35082ecacf9c785ac83f04526b18638,f5a5639991cc5bb682bb2dd48ed7b1701b870f68,1641483395,06.01.2022,https://github.com/ervand7/Summary/compare/f5a5639991cc5bb682bb2dd48ed7b1701b870f68...b32f7d35a35082ecacf9c785ac83f04526b18638,1,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=92;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=90,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=92;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=90
20251229_105924,4918b3248d28dec5c12570ff95915acb11a803a9,b32f7d35a35082ecacf9c785ac83f04526b18638,1641549961,07.01.2022,https://github.com/ervand7/Summary/compare/b32f7d35a35082ecacf9c785ac83f04526b18638...4918b3248d28dec5c12570ff95915acb11a803a9,3,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=92;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=90,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=92;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=90
20251229_105924,9e8562fbe1946044498da3d25a7571114f99910c,4918b3248d28dec5c12570ff95915acb11a803a9,1641722615,09.01.2022,https://github.com/ervand7/Summary/compare/4918b3248d28dec5c12570ff95915acb11a803a9...9e8562fbe1946044498da3d25a7571114f99910c,2,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=92;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=90,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=92;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=90
20251229_105924,80e912b7356af5b86a45e96615b830d7c49b4e3a,9e8562fbe1946044498da3d25a7571114f99910c,1642338990,16.01.2022,https://github.com/ervand7/Summary/compare/9e8562fbe1946044498da3d25a7571114f99910c...80e912b7356af5b86a45e96615b830d7c49b4e3a,1,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=92;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=90,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=92;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=90
20251229_105924,ed0183f3668edd819ea68747448cb84415ebf861,80e912b7356af5b86a45e96615b830d7c49b4e3a,1642398773,17.01.2022,https://github.com/ervand7/Summary/compare/80e912b7356af5b86a45e96615b830d7c49b4e3a...ed0183f3668edd819ea68747448cb84415ebf861,1,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=92;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=90,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=92;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=90
20251229_105924,2a6869639ac29c4d83c675878afa77e5e5cabbcc,ed0183f3668edd819ea68747448cb84415ebf861,1642705879,20.01.2022,https://github.com/ervand7/Summary/compare/ed0183f3668edd819ea68747448cb84415ebf861...2a6869639ac29c4d83c675878afa77e5e5cabbcc,1,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=92;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=90,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=92;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=90
20251229_105924,2765c562c8b9fb7db586c042f2f17b1b10a1b183,2a6869639ac29c4d83c675878afa77e5e5cabbcc,1645127979,17.02.2022,https://github.com/ervand7/Summary/compare/2a6869639ac29c4d83c675878afa77e5e5cabbcc...2765c562c8b9fb7db586c042f2f17b1b10a1b183,1,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=92;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=90,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=92;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=90
20251229_105924,928064ddfd1dbc8488e4c13811f78861f50173d5,2765c562c8b9fb7db586c042f2f17b1b10a1b183,1645275230,19.02.2022,https://github.com/ervand7/Summary/compare/2765c562c8b9fb7db586c042f2f17b1b10a1b183...928064ddfd1dbc8488e4c13811f78861f50173d5,13,x,0,,0,,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=92;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=90,3,KeyInList:/specs-new/NLTK_NonterminalSymbolMutability.py:34=256;KeyInList:/usr/lib/python3.12/logging/__init__.py:1708=92;KeyInList:/usr/lib/python3.12/logging/__init__.py:1719=90
